name,brand,manufacturer,certification_level,certification_description,ingredients,product_description,usage,image_url,page_number
GLOW BY NATURE TAGESPFLEGE,lavera,Laverana GmbH & Co. KG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Water (Aqua), Alcohol* denat., Glycerin, Cetearyl Alcohol, Butyrospermum Parkii (Shea) Oil, Crambe Abyssinica Seed Oil, Cocos Nucifera (Coconut) Oil*, Polyglyceryl-3 Dicitrate/Stearate, Isoamyl Laurate, Dicaprylyl Ether, Dodecane, Tridecane, Xanthan Gum, Hippophae Rhamnoides Fruit Extract*, Citrus Grandis (Grapefruit) Fruit Extract*, Lycium Barbarum Fruit Extract*, Citrus Aurantium Dulcis (Orange) Peel Extract*, Actinidia Chinensis (Kiwi) Fruit Extract*, Butyrospermum Parkii (Shea) Butter*, Rosmarinus Officinalis (Rosemary) Leaf Extract*, Capsicum Annuum Fruit Extract, Citrus Limon (Lemon) Fruit Extract*, Glycine Soja (Soybean) Oil*, Olea Europaea (Olive) Fruit Oil*, Olea Europaea (Olive) Oil Unsaponifiables, Sodium Lactate, Ascorbyl Glucoside, Ascorbyl Palmitate, Glyceryl Undecylenate, Undecane, Levulinic Acid, Sodium Levulinate, Chondrus Crispus Extract, Sodium Hyaluronate, Hydrogenated Palm Glycerides, Tocopherol, Ubiquinone, Hydrogenated Lecithin, Brassica Campestris (Rapeseed) Sterols, Tocopheryl Acetate, Helianthus Annuus (Sunflower) Seed Oil, Fragrance (Parfum)**, Linalool**, Limonene**, Citral**, Citronellol**
     * of controlled biological cultivation 
   ** from natural essential oils","Our Glow by Nature Day Cream revives tired skin and combats the first signs of ageing the natural way. The highly effective formula with natural coenzyme Q10 and vitamin C reduces free radicals and thus protects against oxidative stress. It revitalises tired skin, provides long-lasting moisture and reduces fine lines. The wonderfully light moisturising texture absorbs quickly and gently melts into the skin for a healthy-looking, radiant complexion.

Innovative skin care formula for a natural glow:
- Reduces fine lines
- Counteracts signs of tired skin
- Returns radiance to the skin","Apply in the morning over the face, neck and décolleté after cleansing and massage in gently using circular movements. For best results, use in combination with the Glow by Nature Serum.",https://extranet.natrue.org/storage/14500/conversions/19834-GLOW-BY-NATURE-Tagespflege-thumb.jpg?v=1674286340,97.0
HAPPINESS SHOWER GEL GRAPEFRUIT,Weleda,Weleda AG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Water (Aqua), Alcohol*, Disodium Cocoyl Glutamate, Coco-Glucoside, Glycerin, Fragrance (Parfum)**, Xanthan Gum, Sodium Cocoyl Glutamate, Lactic Acid,, Citric Acid, Tocopherol, Lecithin, Glyceryl Oleate, Hydrogenated Palm Glycerides Citrate, Ascorbyl Palmitate, Limonene**, Linalool**, Citronello**,l Geraniol**, Citral**.
      * Organic ingredient 
    ** from natural essential oils and/or plant extracts","Spread a little happiness with this limited-edition shower gel.

Prepare to let those summer vibes in and feel the joy radiate. The refreshing essential oils will transport you to Mediterranean citrus groves as the natural fragrance is released in the hot cascading water of your shower. It’s scientifically proven to uplift you emotionally, leaving you cheered and contented.

Its formulation, which has been dermatologically-tested for suitability on sensitive skin, contains gentle plant-based cleansers that leave skin feeling supple and well cared for. The refreshing formulation is NATRUE-certified natural and biodegradable* - as eco-friendly as it is skin-friendly. (*as defined by OECD).

 - Uplifting fragrance to stimulate your senses
 - Creates a positive and invigorating atmosphere under the shower
 - Preserves the skin's natural moisture
 - Gently cleanses the skin with plant-based surfactants
 - Emotional uplifting efficacy scientifically proven
 - Skin tolerance dermatologically tested
 - Suitable for vegans
 - Pack made from 26.5% recycled PCR
 - Biodegradable formula",,https://extranet.natrue.org/storage/15246/conversions/19929-Aroma-Shower-Happiness-thumb.jpg?v=1675085909,99.0
HONIG LIPPENBALSAM,Alterra Naturkosmetik,Dirk Rossmann GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Ricinus Communis Seed Oil, Cocos Nucifera Oil, Cera Alba*, Euphorbia Cerifera Cera, Simmondsia Chinensis Seed Oil, Butyrospermum Parkii Butter, Aroma, Olea Europaea Fruit Oil*. Helianthus Annuus Seed Oil, Leptospermum Scoparium Branch/Leaf Oil, Mel Extract, Tocopherol, Benyl Benzoate.
      * ingredients from certified organic agriculture",,,https://extranet.natrue.org/storage/14796/conversions/19845-HONIG-LIPPENBALSAM-thumb.jpg?v=1674286340,97.0
"INTENSE SLEEP, OVERNIGHT MASKE",farfalla,Farfalla Essentials AG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"AQUA, HELIANTHUS ANNUUS SEED OIL*, GLYCERIN, PENTYLENE GLYCOL, BUTYROSPERMUM PARKII BUTTER*, CETEARYL ALCOHOL, CAPRYLIC/CAPRIC TRIGLYCERIDE, EUPHORBIA CERIFERA CERA, ALCOHOL, XYLITYLGLUCOSIDE, ANHYDROXYLITOL, CANNABIS SATIVA SEED OIL*, ANTHEMIS NOBILIS FLOWER WATER*, CETEARYL GLUCOSIDE, PARFUM, SODIUM STEAROYL GLUTAMATE, BETAINE, HYDROLYZED HYALURONIC ACID, XANTHAN GUM, TOCOPHEROL, CHONDRUS CRISPUS, LAVANDULA ANGUSTIFOLIA FLOWER/LEAF/STEM OIL*, XYLITOL, ONOPORDUM ACANTHIUM FLOWER/LEAF/STEM EXTRACT*, GLUCOSE, CITRIC ACID, LEUCONOSTOC/RADISH ROOT FERMENT FILTRATE, GARDENIA JASMINOIDES FRUIT EXTRACT, MALTODEXTRIN, LINALOOL**, LIMONENE**, GERANIOL**, BENZYL BENZOATE**, COUMARIN**, CITRONELLOL**. 
      * certified organic
    ** part of natural essential oils","Intense Sleep Overnight mask, Night Recovery Effect

More than just a good-night ritual that induces sleep: the soothing combination of active ingredients has been proven to improve the quality of sleep, nourishes and regenerates the skin overnight. AromaSkinEffect: contains relaxing organic lavender and hempseed oil for the night.","Apply a thin layer onto clean face and leave for 2-3 minutes. Do not wash off, but gently massage the remainder into the skin.","https://extranet.natrue.org/storage/17132/conversions/19976-Intense-Sleep,-Overnight-Maske-thumb.jpg?v=1697534206",99.0
KOPFHAUT-TONIKUM MIT KOFFEIN,Alterra Naturkosmetik,Dirk Rossmann GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"AQUA, ALCOHOL DENAT, GLYCEROM, POLYGLYCERYL-4 CAPRATE, POLYGLYCERYL-6 CAPRYLATE, BETAIN, PROPANEDIOL, CAFFEINE, PARFUM***, ZINC PCA, XANTHAN GUM, HUMULUS LUPULUS EXTRACT, LINALOOL***, BENZYL SALICYLATE***, CITRONELLOL***, OCIMUM BASILICUM LEAF EXTRACT**.
     ** of controlled biological cultivation 
   *** from natural essential oils",,,https://extranet.natrue.org/storage/14402/conversions/19930-Kopfhaut-Tonikum-mit-Koffein-thumb.jpg?v=1674286340,99.0
RIMITA DEO METSÄ,rimita,Rimita Green Oy,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua, Aloe barbadensis leaf extract*, Olea europaea fruit extract*, Glycerin, Triethyl citrate, Cetearyl alcohol, Glyceryl stearate citrate, Rosmarinus officinalis leaf extract*, Zinc ricinoleate, Lavandula Angustifolia Flower Extract*, Citrus Limon peel extract*, Polyglyceryl-3 caprylate, Oryza sativa starch, Chamomila recutita flower extract and Maltodextrin, Calendula officinalis flower extract and Maltodextrin, Myrtus Communis leaf extract*, Xanthan gum, Sodium Benzoate, Sodium Dehydroacetate, Algin, Citric Acid, Limonene, Linalool, Citral
    * from organic farming

Main ingredients
Organically grown aloe vera, lavender, rosemary, lemon and chamomille.","RimitaDeo Metsä is the deo that really works and concludes your search for a good organic deodorant. It’s a vegan friendly organic deodorant. The gentle formulation doesn’t include any aluminium or baking soda.

Effective ingredients are aloe vera,rosemary, lavender and lemon extracts from organic farming. RimitaDeo Metsä is an unisex product with light and fresh pine scent. Can be also used as first deodorant.","For daily use after washing the armpit.
Allow the deodorant to dry before getting dressed.",https://extranet.natrue.org/storage/15431/conversions/19848-RIMITA-DEO-Metsä-thumb.jpg?v=1676470765,97.0
RUHEPAUSE ENTSPANNUNGSBAD BIO-LAVENDELBLÜTE,Alterra Naturkosmetik,Dirk Rossmann GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua, Sodium Coco-Sulfate, Coco-Glucoside, Sodium Chloride, Betaine, Tocopherol, Ascorbyl Palmitate, Lavandula Angustifolia Flower Extract, Camellia Sinensis Leaf Extract, Parfum, Glyceryl Oleate, Glycerin, Hydrogenated Palm Glycerides Citrate, Lecithin, Sodium Benzoate, Potassium Sorbate, Linalool, Limonene, Citric Acid",,,https://extranet.natrue.org/storage/14800/conversions/19944-Ruhepause-Entspannungsbad--Bio-Lavendelblüte-thumb.jpg?v=1674286340,99.0
SANDDORNFRUCHTFLEISCH 20% IN APRIKOSE,TAOASIS,Taoasis GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Prunus Armeniaca Kernel Oil, Hippophae Rhamnoides Fruit Extract.","Sea buckthorn pulp oil 20% in apricot kernel oil 

Valuable sea buckthorn pulp oil 20% in Demeter apricot kernel oil. Ideal care for dry, sun-reddened and stressed skin. Rich in natural vitamins that soothe and protect the skin - also ideal for mature skin.",,https://extranet.natrue.org/storage/15481/conversions/19877-Sanddornfruchtfleisch-20pc-in-Aprikose-thumb.jpg?v=1676892645,98.0
SENSITIV LIQUID EYELINER 01 BLACK,Alterra Naturkosmetik,Dirk Rossmann GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"AQUA, VITIS VINIFERA FRUIT WATER, PENTYLENE GLYCOL, TRIHEPTANOIN, ALCOHOL, GLYCERIN, CELLULOSE, PULLULAN, COCO-CAPRYLATE/CAPRATE, PHENYLPROPANOL, COCO-GLUCOSIDE, CAESALPINIA SPINOSA GUM, GLUCOSE, SILICA, SUCROSE, CI 77499.",,,https://extranet.natrue.org/storage/14826/conversions/19972-Sensitiv-Liquid-Eyeliner-01-Black-thumb.jpg?v=1674286340,99.0
SIERO VISO CONCENTRATO ANTIOSSIDANTE VITAMINA C,Oyuna,Gala srl,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua, Citrus limon fruit water*, Betaine, Sodium ascorbyl phosphate, Glycerin, Malpighia glabra fruit extract, Rosa canina fruit extract*, Lonicera japonica flower extract, Helianthus annuus seed oil, Caesalpinia spinosa gum, Lonicera caprifolium flower extract, Dehydroxanthan gum, Maltodextrin, Sodium gluconate, Tocopherol, Parfum°, Limonene°, Geraniol°, Linalool°, Citral°, Citric acid, Lactic acid.
     * of controlled biological cultivation 
      ° from natural essential oils",,,https://extranet.natrue.org/storage/13596/conversions/19836-Siero-viso-concentrato-antiossidante-Vitamina-C-thumb.jpg?v=1674286340,97.0
SPOT ACUTE GEL,PRIMAVERA,PRIMAVERA LIFE GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Hamamelis Virginiana (Witch Hazel) Leaf Water* org, Water (Aqua), Alcohol* org, Santalum Album (Sandalwood) Extract, Pentylene Glycol, Glycerin* org, Zinc PCA, Salix Alba (Willow) Bark Extract, Fragrance (Parfum)**, Salvia Officinalis (Sage) Leaf Extract* org, Salvia Officinalis (Sage) Leaf Water* org, Glycyrrhiza Glabra (Licorice) Root Extract* org, Chamomilla Recutita (Matricaria) Flower Extract* org, Cymbopogon Citratus Extract* org, Aloe Barbadensis Leaf Juice Powder* org, Aleurites Moluccanus Seed Oil, Tamarindus Indica Seed Polysaccharide, Acacia Senegal Gum, Cyamopsis Tetragonoloba (Guar) Gum, Xanthan Gum, Carrageenan, Limonene**, Linalool**, Citral**, Geraniol**
      * bio / org =  certified organic cultivation
   **  from 100% pure and natural essential oils","The Spot Acute Gel is the perfect SOS aid for skin impurities, blackheads, and clogged pores With Organic Sage, Organic Licorice, Organic Chamomile, and Willow Bark Extract, this fragrant gel works to regulate and reduce excess sebum, making this is atotally natural way to achieve a clear and even complexion.",Selectively apply to affected skin areas as needed.,https://extranet.natrue.org/storage/15255/conversions/19904-Spot-Acute-Gel-thumb.jpg?v=1675089092,98.0
TONICO IDRATANTE SPRAY,Oyuna,Gala srl,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua, Vitis vinifera fruit water*, Betaine, Inulin, Alpha-glucan oligosaccharide, Oryza sativa extract*, Pullulan, Saccharomyces ferment lysate filtrate, Lonicera japonica flower extract, Caprylyl Capryl Glucoside, Lactic acid, Citric acid, Parfum°, Limonene°, Linalool°, Geraniol°, Benzyl salicylate°.
     * of controlled biological cultivation 
      ° from natural essential oils",,,https://extranet.natrue.org/storage/13598/conversions/19839-Tonico-idratante-spray-thumb.jpg?v=1674286340,97.0
ZAHNFLEISCHSCHUTZ CREMEGEL,Alterra Naturkosmetik,Dirk Rossmann GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua, Hydrated Silica, Glycerin, Sorbitol, Betaine, Aloe Barbadensis Leaf Juice*, Sodium Coco Sulfate, Xanthan Gum, Xylitol, Aroma**, Zinc Lactate, Sodium Fluoride, Limonene**, Linalool**, Salvia Officinalis Leaf Extract*, Sodium Benzoate, Ascorbic Acid.
      * ingredients from certified organic agriculture 
     ** from natural essential oils","For healthy gums - The Alterra Tooth Gel Gum Protection with Organic Sage and Zinc nourishes and protects with regular use. The cream-gel formulation helps prevent gum problems & strengthens the gums. With sodium floride***, tin lactate & xyliot. The trace element zinc is effective against bacteria in dental care and effectively helps with pluque tartar and in combating the causes of gingivitis. Suitable for daily use.
     ***  contains sodium floride 1450ppm

 - Caries protection
 - protection against tartar regeneration
 - gently removes dental plaque
 - Plaque prevention
 - fresh breath",,https://extranet.natrue.org/storage/17760/conversions/19945-Zahnfleischschutz-Cremegel-thumb.jpg?v=1710249959,99.0
ALPINE ROSE A+ AUGENFLUID BOOSTER,farfalla,Farfalla Essentials AG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"AQUA, ALOE BARBADENSIS LEAF JUICE*, PENTYLENE GLYCOL, GLYCERIN, ROSA DAMASCENA FLOWER WATER*, ALCOHOL, BAKUCHIOL, LYSOLECITHIN, SCLEROTIUM GUM, PULLULAN, XANTHAN GUM, PARFUM, ACMELLA OLERACEA EXTRACT, ARGININE, HYDROLYZED HYALURONIC ACID, ROSA CANINA FRUIT OIL*, SIMMONDSIA CHINENSIS SEED OIL*, TOCOPHEROL, PHYTIC ACID, HELIANTHUS ANNUUS SEED OIL, RHODODENDRON FERRUGINEUM EXTRACT*, RETTICHWURZELEXTRACT, CITRIC ACID, ROSA DAMASCENA FLOWER OIL, DISODIUM PHOSPHATE, GERANIOL**, CITRONELLOL**, LINALOOL**. 
      * certified organic
    ** part of natural essential oils","Alpine Rose A+ Eye booster serum, Aging Stress Relief

The innovative complex of active ingredients from Rosa Damascena activates the skin's olfactory receptors, reducing the transmission of stress messengers and protecting the skin. Bakuchiol, as a plant-based vitamin A alternative, acts like a collagen booster and tightens the eye area. An extract of alpine rose protects the skin from oxidation and restores its radiance. High-quality wild rose oil has an additional antioxidant effect on stressed skin. The effect is enhanced by the rose quartz roll-on ball: a crystal that has been used for centuries to enhance well-being, is known to relieve stress and fatigue, and inspires positivity. The rose quartz ball can be easily pushed out with a long object after the product has been used up and further used as an energy stone. A true powerhouse for a rested, visibly rejuvenated eye area.","Gently apply to the eye area with the roll-on. Apply in the morning and evening as needed. 
Tip: Remove rose quartz roll-on ball after use and continue to use as an energy stone!",https://extranet.natrue.org/storage/15756/conversions/20005-Alpine-Rose-A-Augenfluid-Booster-thumb.jpg?v=1678791866,100.0
ALPINE ROSE A+ BAKUCHIOL INTENSIVKUR,farfalla,Farfalla Essentials AG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"SIMMONDSIA CHINENSIS SEED OIL*, POLYGLYCERYL-3 DIISOSTEARATE, ISOAMYL LAURATE, BAKUCHIOL, ROSA CANINA FRUIT OIL*, PARFUM, TOCOPHEROL, HELIANTHUS ANNUUS SEED OIL, PENTYLENE GLYCOL, GLYCERIN, AQUA, ROSA DAMASCENA FLOWER OIL, RHODODENDRON FERRUGINEUM EXTRACT, ROSA DAMASCENA FLOWER WATER, DISODIUM PHOSPHATE, GERANIOL**, LINALOOL**, CITRONELLOL**, LIMONENE**, CITRAL**.
      * certified organic
    ** part of natural essential oils","Alpine Rose A+ Bakuchiol intensive treatment, Aging Stress Relief

Bakuchiol acts like a collagen booster as a plant-based vitamin A alternative. This power concentrate contains 1% Bakuchiol on a jojoba and wild rose oil base and can be used once a month as a 7-day treatment or to enrich facial care on a daily basis. The innovative active ingredient complex from Rosa Damascena reduces the skin's stress biomarkers and reduces visible signs of stress and fatigue. An extract of alpine rose protects the skin from oxidation and restores its radiance. High-quality wild rose oil has an additional antioxidant effect on stressed skin. A true powerhouse for a rested, visibly rejuvenated appearance.","For best results, use as a course of treatment over 7 days under or instead of your normal skin care cream. Then use regularly 2-3 times a week to maintain the effect.",https://extranet.natrue.org/storage/15755/conversions/20006-Alpine-Rose-A-Bakuchiol-Intensivkur-thumb.jpg?v=1678791578,100.0
ANTI AGE CALMING MALLOW CREAM GEL,DR. SCHELLER,Dr. Scheller natural & effective GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"AQUA (WATER), PYRUS MALUS (APPLE) FRUIT WATER*, PENTYLENE GLYCOL, DECYL OLEATE, PRUNUS ARMENIACA (APRICOT) KERNEL OIL*, CETEARYL ALCOHOL, DISTARCH PHOSPHATE, GLYCERIN, C9-12 ALKANE, CETEARYL GLUCOSIDE, MALVA SYLVESTRIS (MALLOW) FLOWER EXTRACT, CALENDULA OFFICINALIS FLOWER EXTRACT, SODIUM HYALURONATE, ROSA CANINA FRUIT OIL*, TILIA CORDATA FLOWER EXTRACT, SAMBUCUS NIGRA FLOWER EXTRACT, OPUNTIA FICUS-INDICA STEM EXTRACT, SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL*, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, GLYCINE SOJA (SOYBEAN) OIL, TOCOPHEROL, COCO-CAPRYLATE/CAPRATE, SCLEROTIUM GUM, SUCCINOGLYCAN, DISODIUM PHOSPHATE, BENZYL ALCOHOL, HYDROGENATED PALM GLYCERIDES CITRATE, CITRIC ACID 
      * from certified organic agriculture","The velvety-light care for tangible soothing, moisturizing and smoothing. The formula with wild mallow, elderflower and lime blossom soothes and smoothes the skin. Light oils of wild rose and jojoba leave skin feeling supple and regenerated. Hyaluronic acid, glycerin and cactus extract intensively moisturize, lines and wrinkles are plumped up from the inside out.

The lightweight anti-age care is 100% free of silicones, mineral oils, parabens and microplastics. The skin compatibility of the cream gel is dermatologically tested. The certified natural cosmetic cream is vegan registered, NATRUE certified, climate neutral and made in Germany.",Apply to the face in the morning and evening and massage in.,https://extranet.natrue.org/storage/14691/conversions/19977-ANTI-AGE-CALMING-MALLOW-CREAM-GEL-thumb.jpg?v=1674286340,99.0
"BADESALZ ""FÜR DICH NUR DAS BESTE""",Alterra Naturkosmetik,Dirk Rossmann GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"MARIS SAL, PARFUM, SODIUM COCO-SULFATE, BETA VULGARIS ROOT JUICE, MALTODEXTRIN, ROSA DAMASCENA BUD EXTRACT, GLYCERIN, AQUA, CITRIC ACID, CITRONELLOL",,,https://extranet.natrue.org/storage/15286/conversions/19911-Badesalz-Für-dich-nur-das-Beste-thumb.jpg?v=1675179543,98.0
BAKED BLUSH 02 BRONZY,Terra Naturi Naturkosmetik,emea Handelsgesellschaft mbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"mica, limnanthes alba seed oil, magnesium stearate, magnesium aluminum silicate, glycerin, aqua, glyceryl caprylate, simmondsia chinensis seed oil, sodium levulinate, p-anisic acid, sodium anisate, tocopherol, tin oxide, helianthus annuus seed oil, ci 77491, ci 77891",,,https://extranet.natrue.org/storage/16284/conversions/19906-Baked-Blush-02-bronzy-thumb.jpg?v=1682416215,98.0
BAKED BRONZER 01 TANNED,Terra Naturi Naturkosmetik,emea Handelsgesellschaft mbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"mica, limnanthes alba seed oil, magnesium stearate, magnesium aluminum silicate, glycerin, aqua, simmondsia chinensis seed oil, glyceryl caprylate, sodium levulinate, p-anisic acid, sodium anisate, tin oxide, tocopherol, helianthus annuus seed oil, ci 77891, ci 77491",,,https://extranet.natrue.org/storage/16285/conversions/19907-Baked-Bronzer-01-tanned-thumb.jpg?v=1682416385,98.0
BAKED BRONZER 02 BRONZY,Terra Naturi Naturkosmetik,emea Handelsgesellschaft mbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"mica, limnanthes alba seed oil, magnesium stearate, magnesium aluminum silicate, glycerin, aqua, simmondsia chinensis seed oil, glyceryl caprylate, sodium levulinate, p-anisic acid, sodium anisate, tocopherol, tin oxide, helianthus annuus seed oil, ci 77491, ci 77891",,,https://extranet.natrue.org/storage/16286/conversions/19908-Baked-Bronzer-02-bronzy-thumb.jpg?v=1682416524,98.0
BAKUCHIOL DROPS OHNE DUFT,Santaverde,Santaverde GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Aloe Barbadensis Leaf Juice*, Rosa Damascena Flower Water *, Alcohol *, Prunus Domestica Seed Oil*, Bakuchiol, Simmondsia Chinensis Seed Oil*, Solanum Lycopersicum Fruit Oil, Helianthus Annuus Seed Oil*, Chondrus Chrispus Powder, Glycerin, Tocopherol, Glyceryl Caprylate, Xanthan Gum, Levulinic Acid, Sodium Stearoyl Glutamate, Sodium Levulinate, Sodium Phytate, Sodium Hydroxide.
     * from controlled biological cultivation","- fragrance-free
 - with plant-based retinol alternative
 - has an antioxidant and regenerating effect

The facial serum with the power active ingredient bakuchiol has an intensive regenerating effect, supplies the skin with antioxidants and improves the skin's appearance. Pure aloe vera juice has a moisturising effect. Bakuchiol, the plant-based and mild retinol alternative, counteracts signs of sun damage, activates cell renewal and has antioxidant, firming and anti-inflammatory effects. The antioxidant lycopene from tomatoes is effective against free radicals. Nourishing plum seed oil protects the skin from moisture loss. Gives a smoothed, refined and even complexion.

Skin texture
The serum is especially suitable for sensitive, irritated and demanding skin. You don't know what skin type you have? With our individual skin analysis, we help you find the ideal care for your current skin needs. Try it out here now.

Aloe instead of aqua
In our cosmetic formulas, we replace the usual main ingredient water with our uniquely active aloe vera juice from our own certified organic cultivation in Andalusia.",,https://extranet.natrue.org/storage/16983/conversions/20009-bakuchiol-drops-ohne-Duft-thumb.jpg?v=1694622415,100.0
BODY CREAM,Solimara,Solimara NZ Ltd,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Aloe Barbadensis Leaf Juice, Coco-Caprylate,Cetearyl Olivate (and) Sorbitan Olivate, Glyceryl Stearate SE, Prunus Armeniaca (Apricot) Kernel Oil, Cetyl Alcohol, Glycerin, Sodium Stearoyl Glutamate, Dehydroacetic Acid (and) Benzyl Alcohol (and) Aqua, Xanthan Gum, Fragrance (Natural), Citric Acid, Benzyl Salicylate*, Limonene*.
     * Part of the natural fragrance.","A thoughtfully chosen blend of ONLY premium certified natural ingredients including sweet almond oil, apricot kernel oil, and aloe vera.

This light barrier nourishes, hydrates, and protects your skin against harsh environmental conditions.

Intensively moisturising with potent antioxidants to promote smooth, healthy skin.",,https://extranet.natrue.org/storage/15464/conversions/20008-Solimara-Body-Cream-thumb.jpg?v=1676560756,100.0
CREMA GAMBE E PIEDI,N&B Natural is Better,N&B srl,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.",,,,,99.0
DUO EYEBROW POWDER 01 LIGHT,Terra Naturi Naturkosmetik,emea Handelsgesellschaft mbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"talc, mica, magnesium stearate, caprylic/capric triglyceride, kaolin, macadamia integrifolia/tetraphylla seed oil, ricinus communis seed oil, p-anisic acid, tocopherol, glyceryl caprylate, helianthus annuus seed oil, alumina, magnesium oxide, ci 77499, ci 77491, ci 77492, ci 77891",,,https://extranet.natrue.org/storage/16257/conversions/19909-Duo-Eyebrow-Powder-01-light-thumb.jpg?v=1682341569,98.0
DUO EYEBROW POWDER 02 DARK,Terra Naturi Naturkosmetik,emea Handelsgesellschaft mbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"talc, mica, magnesium stearate, caprylic/capric triglyceride, kaolin, macadamia integrifolia/tetraphylla seed oil, ricinus communis seed oil, p-anisic acid, tocopherol, glyceryl caprylate, helianthus annuus seed oil, alumina, magnesium oxide, ci 77499, ci 77491, ci 77492",,,https://extranet.natrue.org/storage/16258/conversions/19910-Duo-Eyebrow-Powder-02-dark-thumb.jpg?v=1682341680,98.0
FIRMING CAFFEINE EYE CREAM,DR. SCHELLER,Dr. Scheller natural & effective GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"AQUA (WATER), PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) OIL*, SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL*, PENTYLENE GLYCOL, SHOREA STENOPTERA SEED BUTTER, COCO-CAPRYLATE, CETEARYL ALCOHOL, GLYCERIN, CETYL ALCOHOL, CETEARYL GLUCOSIDE, CAFFEINE, SQUALANE, SODIUM HYALURONATE, CALENDULA OFFICINALIS FLOWER EXTRACT, HAMAMELIS VIRGINIANA LEAF EXTRACT, TRIFOLIUM PRATENSE (CLOVER) FLOWER EXTRACT, EUPHRASIA OFFICINALIS EXTRACT, GLYCINE SOJA (SOYBEAN) OIL, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, TOCOPHEROL, MALTODEXTRIN, SCLEROTIUM GUM, PROPYLENE GLYCOL, BENZYL ALCOHOL, CITRIC ACID
      * from certified organic agriculture","The smoothing eye care with witch hazel, red clover and eyebright, has a plumping effect and revitalizes the sensitive eye area. Hyaluronic acid provides intensive moisture, lines and wrinkles are reduced. Caffeine gives an awake look, cold-pressed oils provide a soft and supple skin feeling.

The smoothing eye care is 100% free of silicones, mineral oils, parabens and microplastics. The skin compatibility of the Anti Age Eye Cream is dermatologically tested. The certified natural cosmetic eye cream is vegan registered, NATRUE certified, climate neutral and made in Germany.",Apply gently to the eye area in the morning and evening.,https://extranet.natrue.org/storage/14693/conversions/19978-FIRMING-CAFFEINE-EYE-CREAM-thumb.jpg?v=1674286340,99.0
FLÜSSIGSEIFE SENSITIV BIO-KAMILLE & BIO-HEIDEKRAUT,BLÜTE-ZEIT,Otto Cosmetic GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,,"Description
Liquid soap sensitive 
with organic chamomile & organic heather",,https://extranet.natrue.org/storage/16428/conversions/19927-Flüssigseife-Sensitiv-Bio-Kamille-&-Bio-Heidekraut-thumb.jpg?v=1683725735,98.0
